Product ID;Product Category;Product Subcategory;Product Name;Product Description; Product Price ;Product Weight;Product Size;Product Region;Product Color;Product Stock;Order ID;Customer ID;Customer Name;Customer Location;Order Date;Order Status;Order Quantity; Order Total ;Payment Method;Shipping Method;Shipping Time (in Days);Estimated Delivery Date;Customer Feedback;;;;;;;;;
1001;Mountain Bikes;Cross Country;TrailBlazer 1000;Lightweight and versatile; € 1 200,00 ; 25,00 ;M;North America;Red;50;2001;3001;J*******;USA;01.03.2023;Shipped;2; € 2 400,00 ;Credit Card;Ground;3;04.03.2023;Positive;;;;;;;;;
1002;Mountain Bikes;Cross Country;TrailBlazer 2000;High-performance mountain bike; € 1 500,00 ; 22,00 ;L;Europe;Blue;20;2002;3002;J*********;UK;02.03.2023;Processing;1; € 1 500,00 ;PayPal;Air;2;03.03.2023;Neutral;;;;;;;;;
1003;Road Bikes;Racing;SpeedMaster 1000;Agile and aerodynamic road bike; € 1 800,00 ; 18,00 ;M;Asia;Yellow;30;2003;3003;J************;Japan;03.03.2023;Cancelled;3; € 5 400,00 ;Credit Card;Ground;5;07.03.2023;Positive;;;;;;;;;
1004;Road Bikes;Racing;SpeedMaster 2000;Premium racing road bike; € 2 100,00 ; 16,00 ;L;North America;Black;40;2004;3004;M***********;USA;04.03.2023;Shipped;1; € 2 100,00 ;Credit Card;Air;1;04.03.2023;Negative;;;;;;;;;
1005;Touring Bikes;Long Distance;Explorer 1000;Comfortable and durable touring bike; € 1 300,00 ; 27,00 ;M;Europe;Green;25;2005;3005;R***********;Germany;05.03.2023;Processing;2; € 2 600,00 ;PayPal;Ground;4;08.03.2023;Positive;;;;;;;;;
1006;Touring Bikes;Long Distance;Explorer 2000;Advanced touring bike; € 1 600,00 ; 24,00 ;L;Europe;Red;15;2006;3006;E***********;Spain;06.03.2023;Shipped;1; € 1 600,00 ;Credit Card;Air;2;07.03.2023;Positive;;;;;;;;;
1007;Mountain Bikes;Downhill;GravityMaster 1000;Rugged and durable downhill bike; € 2 200,00 ; 29,00 ;M;Asia;Orange;25;2007;3007;D***********;China;07.03.2023;Shipped;2; € 4 400,00 ;PayPal;Ground;5;11.03.2023;Negative;;;;;;;;;
1008;Mountain Bikes;Downhill;GravityMaster 2000;Rugged and durable downhill bike; € 2 500,00 ; 27,00 ;L;North America;White;35;2008;3008;S***********;USA;08.03.2023;Processing;1; € 2 500,00 ;Credit Card;Air;1;08.03.2023;Positive;;;;;;;;;
1021;Mountain Bikes;Trail;Pathfinder 1000;Agile trail bike for all skill levels; € 1 100,00 ; 24,00 ;M;Europe;Blue;30;2021;3021;J**********;France;21.03.2023;Shipped;2; € 2 200,00 ;Credit Card;Ground;4;12.03.2023;Neutral;;;;;;;;;
1022;Mountain Bikes;Trail;Pathfinder 2000;High-performance trail bike; € 1 400,00 ; 21,00 ;L;Europe;Red;20;2022;3022;L*********;Germany;22.03.2023;Processing;1; € 1 400,00 ;PayPal;Air;2;14.03.2023;Positive;;;;;;;;;
1023;Road Bikes;Touring;Voyager 1000;Comfortable touring road bike; € 1 700,00 ; 20,00 ;M;Asia;Green;18;2023;3023;W************;Japan;23.03.2023;Cancelled;3; € 5 100,00 ;Credit Card;Ground;5;18.03.2023;Neutral;;;;;;;;;
1024;Road Bikes;Touring;Voyager 2000;Advanced touring road bike; € 2 000,00 ; 18,00 ;L;North America;Black;22;2024;3024;E*********;USA;24.03.2023;Shipped;1; € 2 000,00 ;Credit Card;Air;1;15.03.2023;Positive;;;;;;;;;
1025;Touring Bikes;Touring;Adventurer 1000;Durable bike for long adventures; € 1 500,00 ; 28,00 ;M;Europe;Yellow;23;2025;3025;J*********;UK;25.03.2023;Processing;2; € 3 000,00 ;PayPal;Ground;4;19.03.2023;Neutral;;;;;;;;;
1026;Touring Bikes;Adventure;Adventurer 2000;Premium adventure touring bike; € 1 800,00 ; 26,00 ;L;Asia;White;20;2026;3026;S**************;China;26.03.2023;Shipped;1; € 1 800,00 ;Credit Card;Air;2;18.03.2023;Positive;;;;;;;;;
1027;Mountain Bikes;Enduro;EnduroMaster 1000;Endurance-focused mountain bike; € 2 300,00 ; 30,00 ;M;North America;Blue;18;2027;3027;M**************;USA;27.03.2023;Shipped;2; € 4 600,00 ;PayPal;Ground;5;22.03.2023;Negative;;;;;;;;;
1028;Mountain Bikes;Enduro;EnduroMaster 2000;High-performance enduro mountain bike; € 2 600,00 ; 28,00 ;L;Europe;Red;20;2028;3028;O************;Italy;28.03.2023;Processing;1; € 2 600,00 ;Credit Card;Air;1;19.03.2023;Positive;;;;;;;;;
1041;Mountain Bikes;Fat Bikes;FatTrail 1000;All-terrain fat bike; € 1 300,00 ; 32,00 ;M;Asia;Black;20;2041;3041;E***********;South Korea;11.03.2023;Shipped;2; € 2 600,00 ;Credit Card;Ground;4;23.03.2023;Neutral;;;;;;;;;
1042;Mountain Bikes;Fat Bikes;FatTrail 2000;High-performance fat bike; € 1 600,00 ; 29,00 ;L;Europe;Green;20;2042;3042;A*********;France;12.03.2023;Processing;1; € 1 600,00 ;PayPal;Air;2;22.03.2023;Positive;;;;;;;;;
1043;Road Bikes;Cyclocross;CrossRider 1000;Versatile cyclocross bike; € 1 900,00 ; 21,00 ;M;Asia;White;18;2043;3043;I***************;USA;13.03.2023;Cancelled;3; € 5 700,00 ;Credit Card;Ground;5;26.03.2023;Neutral;;;;;;;;;
1044;Road Bikes;Cyclocross;CrossRider 2000;Advanced cyclocross bike; € 2 200,00 ; 19,00 ;L;Europe;Red;20;2044;3044;A**************;Greece;14.03.2023;Shipped;1; € 2 200,00 ;Credit Card;Air;2;24.03.2023;Positive;;;;;;;;;
1045;Touring Bikes;Tandem;DuoExplorer 1000;Comfortable tandem touring bike; € 2 000,00 ; 36,00 ;M;Asia;Green;18;2045;3045;L**********;India;15.03.2023;Processing;2; € 4 000,00 ;PayPal;Ground;5;28.03.2023;Neutral;;;;;;;;;
1046;Touring Bikes;Tandem;DuoExplorer 2000;High-performance tandem touring bike; € 2 300,00 ; 34,00 ;L;North America;Black;22;2046;3046;S***********;USA;16.03.2023;Shipped;1; € 2 300,00 ;Credit Card;Air;1;25.03.2023;Positive;;;;;;;;;
1047;Mountain Bikes;Electric;E-Mountain 1000;Electric mountain bike; € 3 000,00 ; 40,00 ;M;Europe;Yellow;23;2047;3047;B****************;Ireland;17.03.2023;Shipped;2; € 6 000,00 ;PayPal;Ground;4;29.03.2023;Neutral;;;;;;;;;
1048;Mountain Bikes;Electric;E-Mountain 2000;High-performance electric mountain bike; € 3 500,00 ; 38,00 ;L;Asia;White;20;2048;3048;M*********;Taiwan;18.03.2023;Processing;1; € 3 500,00 ;Credit Card;Air;2;28.03.2023;Positive;;;;;;;;;
1061;E-Bikes;City;UrbanEco 1000;Eco-friendly electric city bike; € 2 000,00 ; 35,00 ;M;North America;Blue;18;2061;3061;N***********;Canada;01.03.2023;Shipped;2; € 4 000,00 ;Credit Card;Ground;5;01.04.2023;Negative;;;;;;;;;
1062;E-Bikes;City;UrbanEco 2000;High-performance electric city bike; € 2 500,00 ; 33,00 ;L;Europe;Silver;20;2062;3062;H**************;Germany;02.03.2023;Processing;1; € 2 500,00 ;PayPal;Air;1;29.03.2023;Positive;;;;;;;;;
1063;Road Bikes;Gravel;GravelMaster 1000;All-terrain gravel bike; € 1 700,00 ; 22,00 ;M;Europe;Orange;21;2063;3063;A***********;Spain;03.03.2023;Cancelled;3; € 5 100,00 ;Credit Card;Air;2;31.03.2023;Neutral;;;;;;;;;
1064;Road Bikes;Gravel;GravelMaster 2000;High-performance gravel bike; € 2 100,00 ; 20,00 ;L;Asia;Red;19;2064;3064;E***********;China;04.03.2023;Shipped;1; € 2 100,00 ;Credit Card;Ground;4;03.04.2023;Positive;;;;;;;;;
1065;Touring Bikes;Folding;FoldAway 1000;Compact folding touring bike; € 1 500,00 ; 30,00 ;M;North America;Black;17;2065;3065;I*************;USA;05.03.2023;Processing;2; € 3 000,00 ;PayPal;Air;2;02.04.2023;Negative;;;;;;;;;
1066;Touring Bikes;Folding;FoldAway 2000;Advanced folding touring bike; € 1 800,00 ; 28,00 ;L;Europe;White;20;2066;3066;L*********;Italy;06.03.2023;Shipped;1; € 1 800,00 ;Credit Card;Ground;4;05.04.2023;Positive;;;;;;;;;
1067;E-Bikes;Mountain;E-TrailBlazer 1000;Electric mountain bike; € 3 200,00 ; 42,00 ;M;Europe;Blue;18;2067;3067;M**********;UK;07.03.2023;Shipped;2; € 6 400,00 ;PayPal;Air;2;04.04.2023;Neutral;;;;;;;;;
1068;E-Bikes;Mountain;E-TrailBlazer 2000;High-performance electric mountain bike; € 3 700,00 ; 40,00 ;L;Asia;Yellow;20;2068;3068;N***********;Japan;08.03.2023;Processing;1; € 3 700,00 ;Credit Card;Air;1;04.04.2023;Positive;;;;;;;;;
1081;Hybrid Bikes;Commuter;CommutePro 1000;Efficient commuter hybrid bike; € 1 200,00 ; 27,00 ;M;North America;Green;19;2081;3081;A*********;USA;19.02.2023;Shipped;2; € 2 400,00 ;Credit Card;Ground;5;09.04.2023;Neutral;;;;;;;;;
1082;Hybrid Bikes;Commuter;CommutePro 2000;High-performance commuter hybrid bike; € 1 500,00 ; 25,00 ;L;Europe;Silver;19;2082;3082;S************;France;20.02.2023;Processing;1; € 1 500,00 ;PayPal;Air;1;06.04.2023;Positive;;;;;;;;;
1083;Road Bikes;Aero;AeroSpeed 1000;Aerodynamic road bike; € 2 800,00 ; 18,00 ;M;Europe;Orange;18;2083;3083;B****************;Poland;21.02.2023;Cancelled;3; € 8 400,00 ;Credit Card;Air;2;08.04.2023;Neutral;;;;;;;;;
1084;Road Bikes;Aero;AeroSpeed 2000;Advanced aerodynamic road bike; € 3 200,00 ; 16,00 ;L;Asia;Red;21;2084;3084;H**************;South Korea;22.02.2023;Shipped;1; € 3 200,00 ;Credit Card;Ground;4;11.04.2023;Positive;;;;;;;;;
1085;Touring Bikes;Recumbent;ReclineRider 1000;Comfortable recumbent touring bike; € 2 000,00 ; 33,00 ;M;North America;Black;20;2085;3085;E**********;USA;23.02.2023;Processing;2; € 4 000,00 ;PayPal;Air;2;10.04.2023;Negative;;;;;;;;;
1086;Touring Bikes;Recumbent;ReclineRider 2000;High-performance recumbent touring bike; € 2 400,00 ; 30,00 ;L;Europe;White;18;2086;3086;I*************;Portugal;24.02.2023;Shipped;1; € 2 400,00 ;Credit Card;Ground;4;13.04.2023;Positive;;;;;;;;;
1087;Mountain Bikes;Downhill;DownhillDominator 1000;Downhill mountain bike; € 2 900,00 ; 34,00 ;M;Europe;Blue;20;2087;3087;L***********;Netherlands;25.02.2023;Shipped;2; € 5 800,00 ;PayPal;Air;2;12.04.2023;Neutral;;;;;;;;;
1088;Mountain Bikes;Downhill;DownhillDominator 2000;High-performance downhill mountain bike; € 3 300,00 ; 32,00 ;L;Asia;Yellow;22;2088;3088;M*********;China;26.02.2023;Processing;1; € 3 300,00 ;PayPal;Air;1;12.04.2023;Positive;;;;;;;;;
1101;Kids Bikes;Balance;LittleBalancer 1000;Starter balance bike for kids; € 150,00 ; 10,00 ;M;North America;Green;20;2101;3101;N**********;Canada;01.02.2023;Shipped;2; € 300,00 ;Credit Card;Ground;5;17.04.2023;Neutral;;;;;;;;;
1102;Kids Bikes;Balance;LittleBalancer 2000;Upgraded balance bike for kids; € 200,00 ; 9,00 ;L;Europe;Silver;18;2102;3102;S**************;Spain;02.02.2023;Processing;1; € 200,00 ;PayPal;Air;1;14.04.2023;Positive;;;;;;;;;
1103;BMX Bikes;Freestyle;FreestyleMaster 1000;Beginner freestyle BMX bike; € 400,00 ; 25,00 ;M;Europe;Orange;20;2103;3103;B****************;Germany;03.02.2023;Cancelled;3; € 1 200,00 ;Credit Card;Air;2;16.04.2023;Neutral;;;;;;;;;
1104;BMX Bikes;Freestyle;FreestyleMaster 2000;Advanced freestyle BMX bike; € 600,00 ; 23,00 ;L;Asia;Red;23;2104;3104;H***********;Australia;04.02.2023;Shipped;1; € 600,00 ;Credit Card;Ground;4;19.04.2023;Positive;;;;;;;;;
1105;Mountain Bikes;Cross Country;XC-Rider 1000;Cross country mountain bike; € 1 800,00 ; 29,00 ;M;North America;Black;21;2105;3105;E**********;Canada;05.02.2023;Processing;2; € 3 600,00 ;PayPal;Air;2;18.04.2023;Negative;;;;;;;;;
